product_code,product_name,category,manufacturing_type,has_bom,bom_picking_type_id,route_ids,has_buy
RM-PET-RO-00001,PETแบบม้วน  380x0.25mm  สีใส,All / RM / บรรจุภัณฑ์,plastic,N,,"{5,58}",Y
RM-PLA-HD-00001,เม็ดพลาสติก HDPE 5200B,All / RM / พลาสติก,plastic,N,,{5},Y
RM-PLA-PP-00001,เม็ดพลาสติก HP648N 750KG,All / RM / พลาสติก,plastic,N,,"{5,58}",Y
RM-PLA-PP-00002,เม็ดพลาสติก RP348N 750Kg,All / RM / พลาสติก,plastic,N,,"{5,58}",Y
RM-PVC-RO-01001,"PVCแบบม้วน ขนาด 15""x0.25mm
",All / RM / พลาสติก,plastic,N,,{5},Y
RM-PVC-RO-01002,"PVCแบบม้วน ขนาด 18""x0.20mm",All / RM / พลาสติก,plastic,N,,{5},Y
RM-PVC-RO-01003,"PVCแบบม้วน ขนาด 18""x0.40mm
",All / RM / พลาสติก,plastic,N,,{5},Y
RM-PVC-RO-01004,"PVCแบบม้วน ขนาด 27""x0.20mm
",All / RM / พลาสติก,plastic,N,,{5},Y
RM-PVC-RO-01005,PVCแบบม้วน ขนาด 600x0.20mm,All / RM / พลาสติก,plastic,N,,"{5,58}",Y
RM-PVC-RO-01006,PVCแบบม้วน ขนาด 385x0.20mm,All / RM / พลาสติก,plastic,N,,{5},Y
