date,journal_id,name,line_ids/account_id,line_ids/tax_ids,line_ids/is_imported,line_ids/debit,line_ids/credit
,,,530054,,True,5241299.28,
,,,530027,,True,1539019.80,
,,,530081,,True,26367.67,
,,,530082,,True,115851.18,
,,,530083,,True,1851805.05,
,,,530084,,True,,0.20
,,,590001,,True,,76311884.56
,,,600001,,True,1654955.91,
,,,600002,,True,1126262.60,
,,,600003,,True,17203616.44,
,,,600004,,True,16470064.05,
,,,600005,,True,3337618.62,
,,,600006,,True,306289.52,
,,,600008,,True,2322.83,
,,,600010,,True,254821.00,
,,,600021,,True,17640367.17,
,,,600025,,True,294772.00,
,,,600027,,True,333543.35,
,,,600029,,True,55100.00,
,,,600030,,True,6560.00,
,,,600032,,True,20180.79,
,,,600033,,True,2541778.56,
,,,600022,,True,5156282.00,
,,,600043,,True,44974.40,
,,,600023,,True,342213.00,
,,,600045,,True,38994.00,
,,,600052,,True,95498.12,
,,,600053,,True,45711.40,
,,,600054,,True,29200.00,
,,,600061,,True,1236664.56,
,,,600062,,True,684523.99,
,,,600083,,True,16751.87,
,,,600085,,True,461021.93,
,,,600092,,True,2053.04,
,,,600093,,True,24061.88,
,,,600095,,True,1875782.45,
,,,600064,,True,18123365.17,
,,,600065,,True,1366605.23,
,,,600067,,True,116035.00,
,,,600100,,True,265041.44,
,,,600011,,True,11382243.00,
,,,600097,,True,42115.73,
,,,600021,,True,52758437.67,
,,,600025,,True,174881.00,
,,,600026,,True,29594.00,
,,,600027,,True,681636.90,
,,,600034,,True,240900.00,
,,,600029,,True,196700.00,
,,,600030,,True,39845.75,
,,,600055,,True,,19387.92
,,,600032,,True,20884.76,
,,,600033,,True,334892.42,
,,,600041,,True,313406.65,
,,,600010,,True,4114006.53,
,,,600042,,True,10309.70,
,,,600043,,True,111017.19,
,,,600044,,True,2198.00,
,,,600045,,True,9710.00,
,,,600068,,True,1375655.28,
,,,600052,,True,258974.74,
,,,600053,,True,167703.81,
,,,600054,,True,184553.46,
,,,600069,,True,23100.00,
,,,600026,,True,455604.07,
,,,600027,,True,159430.07,
,,,600081,,True,272735.00,
,,,600082,,True,13740.00,
,,,600083,,True,85305.43,
,,,600084,,True,37850.45,
,,,600085,,True,606262.66,
,,,600091,,True,27480.85,
,,,600092,,True,192667.59,
,,,600093,,True,1251568.35,
,,,600094,,True,56923.78,
,,,600095,,True,1690045.11,
,,,600096,,True,947742.63,
,,,600064,,True,10822050.68,
,,,600097,,True,261678.19,
,,,600066,,True,2429082.46,
,,,600071,,True,1300.00,
,,,600056,,True,137.00,
,,,600072,,True,71700.00,
,,,600065,,True,5846.30,
,,,600074,,True,1094570.40,
,,,600075,,True,2794.20,
,,,600102,,True,23026067.91,
,,,600103,,True,7878410.18,
,,,600104,,True,0.03,
,,,600105,,True,12915.66,
,,,600100,,True,77769.39,
,,,600110,,True,,480.29
,,,600023,,True,222612.00,
,,,600113,,True,458183.33,
,,,800001,,True,119601.83,
,,,800002,,True,335562.18,
