bom_id,current_picking_type_id,current_picking_type_name,proposed_picking_type_id,proposed_picking_type_name,confidence,review_required,decision_source,decision_reason,sku,variant_codes,product_name,category,route_ids,route_names,bom_line_count,operation_count,workcenters
3097,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PSK-TH-03002,FG-PSK-TH-03002,ยาดมโป๊ยเซียนพวงกุญแจ สีม่วง,ยาดม PS (พวงกุญแจ),,,6,1,เครื่องบรรจุประกอบหลอด เครื่อง 1
3098,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PSK-TH-03003,FG-PSK-TH-03003,ยาดมโป๊ยเซียนพวงกุญแจ สีชมพู,ยาดม PS (พวงกุญแจ),,,6,1,เครื่องบรรจุประกอบหลอด เครื่อง 1
3099,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PSK-TH-03004,FG-PSK-TH-03004,ยาดมโป๊ยเซียนพวงกุญแจ สีฟ้า,ยาดม PS (พวงกุญแจ),,,6,1,เครื่องบรรจุประกอบหลอด เครื่อง 1
3100,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PSK-TH-03005,FG-PSK-TH-03005,ยาดมโป๊ยเซียนพวงกุญแจ สีเหลือง,ยาดม PS (พวงกุญแจ),,,6,1,เครื่องบรรจุประกอบหลอด เครื่อง 1
3101,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PSK-TH-03006,FG-PSK-TH-03006,ยาดมโป๊ยเซียนพวงกุญแจ สีเขียว,ยาดม PS (พวงกุญแจ),,,6,1,เครื่องบรรจุประกอบหลอด เครื่อง 1
3102,,,,,review,True,manual_review,,,,ยาดมโป๊ยเซียนแผง (พวงกุญแจ),ยาดม PS (พวงกุญแจ),5,"{""en_US"": ""Buy"", ""th_TH"": ""ซื้อ""}",8,0,
3103,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PSK-TH-02001,FG-PSK-TH-02001,ยาดมโป๊ยเซียนพวงกุญแจ กล่อง 5โหล,ยาดม PS (พวงกุญแจ),,,3,2,เครื่องชั่งสายพาน Check weight balance | เครื่องหุ้มฟิล์ม 5 โหล แบบอุโมงค์
3104,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PSK-TH-01002,FG-PSK-TH-01002,ยาดมโป๊ยเซียนพวงกุญแจ (10x6) 5โหล,ยาดม PS (พวงกุญแจ),,,3,1,เครื่องปิดเทปกาวกล่อง
3150,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-MTS-XX-03001,FG-MTS-XX-03001,ยาดม Mark II แผง,ยาดม MARK II,,,8,2,เครื่องอัดแผงยาดม 3 Cut เครื่อง 1 | เครื่องอัดแผงยาดม 3 Cut เครื่อง 2
3151,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-MTS-XX-02001,FG-MTS-XX-02001,ยาดม Mark II กล่อง 5 โหล (หุ้ม),ยาดม MARK II,,,3,2,เครื่องชั่งสายพาน Check weight balance | เครื่องหุ้มฟิล์ม 5 โหล แบบอุโมงค์
3152,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-MTS-XX-01001,FG-MTS-XX-01001,ยาดม Mark II (10x6) 5โหล,ยาดม MARK II,,,3,1,เครื่องปิดเทปกาวกล่อง
3512,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PNR-TH-01004,FG-PNR-TH-01004,พิมเสนโรลออน 5cc (1x1) กล่องขาว,พิมเสนโรลออน 5 CC,,,2,1,เครื่องปิดเทปกาวกล่อง
3516,,,59,Manufacturing Pharma,low,True,sku,FG prefix defaulted to Pharma for review,FG-PNC-TH-04001,FG-PNC-TH-04001,พิมเสนสำลี 8cc ไม่หุ้ม,พิมเสนสำลี 8 CC,,,3,1,เครื่องหมุนฝาพิมเสนน้ำสำลี
