date,journal_id/name,name,line_ids/account_id/code,line_ids/currency_id/name,line_ids/debit,line_ids/credit
2025-12-31 00:00:00,Opening Balance,/,530082,THB,115851.18,
2025-12-31 00:00:00,Opening Balance,/,530083,THB,1851805.05,
2025-12-31 00:00:00,Opening Balance,/,530084,THB,,0.2
2025-12-31 00:00:00,Opening Balance,/,590001,THB,,76311884.56
2025-12-31 00:00:00,Opening Balance,/,600001,THB,1654955.91,
2025-12-31 00:00:00,Opening Balance,/,600002,THB,1126262.6,
2025-12-31 00:00:00,Opening Balance,/,600003,THB,17203616.44,
2025-12-31 00:00:00,Opening Balance,/,600004,THB,16470064.05,
2025-12-31 00:00:00,Opening Balance,/,600005,THB,3337618.62,
2025-12-31 00:00:00,Opening Balance,/,600006,THB,306289.52,
2025-12-31 00:00:00,Opening Balance,/,600008,THB,2322.83,
2025-12-31 00:00:00,Opening Balance,/,600010,THB,254821,
2025-12-31 00:00:00,Opening Balance,/,600021,THB,17640367.17,
2025-12-31 00:00:00,Opening Balance,/,600025,THB,294772,
2025-12-31 00:00:00,Opening Balance,/,600027,THB,333543.35,
2025-12-31 00:00:00,Opening Balance,/,600029,THB,55100,
2025-12-31 00:00:00,Opening Balance,/,600030,THB,6560,
2025-12-31 00:00:00,Opening Balance,/,600032,THB,20180.79,
2025-12-31 00:00:00,Opening Balance,/,600033,THB,2541778.56,
2025-12-31 00:00:00,Opening Balance,/,600022,THB,5156282,
2025-12-31 00:00:00,Opening Balance,/,600043,THB,44974.4,
2025-12-31 00:00:00,Opening Balance,/,600023,THB,342213,
2025-12-31 00:00:00,Opening Balance,/,600045,THB,38994,
2025-12-31 00:00:00,Opening Balance,/,600052,THB,95498.12,
2025-12-31 00:00:00,Opening Balance,/,600053,THB,45711.4,
2025-12-31 00:00:00,Opening Balance,/,600054,THB,29200,
2025-12-31 00:00:00,Opening Balance,/,600061,THB,1236664.56,
2025-12-31 00:00:00,Opening Balance,/,600062,THB,684523.99,
2025-12-31 00:00:00,Opening Balance,/,600083,THB,16751.87,
2025-12-31 00:00:00,Opening Balance,/,600085,THB,461021.93,
2025-12-31 00:00:00,Opening Balance,/,600092,THB,2053.04,
2025-12-31 00:00:00,Opening Balance,/,600093,THB,24061.88,
2025-12-31 00:00:00,Opening Balance,/,600095,THB,1875782.45,
2025-12-31 00:00:00,Opening Balance,/,600064,THB,18123365.17,
2025-12-31 00:00:00,Opening Balance,/,600065,THB,1366605.23,
2025-12-31 00:00:00,Opening Balance,/,600067,THB,116035,
2025-12-31 00:00:00,Opening Balance,/,600100,THB,265041.44,
2025-12-31 00:00:00,Opening Balance,/,600011,THB,11382243,
2025-12-31 00:00:00,Opening Balance,/,600097,THB,42115.73,
2025-12-31 00:00:00,Opening Balance,/,600021,THB,52758437.67,
2025-12-31 00:00:00,Opening Balance,/,600025,THB,174881,
2025-12-31 00:00:00,Opening Balance,/,600026,THB,29594,
2025-12-31 00:00:00,Opening Balance,/,600027,THB,681636.9,
2025-12-31 00:00:00,Opening Balance,/,600034,THB,240900,
2025-12-31 00:00:00,Opening Balance,/,600029,THB,196700,
2025-12-31 00:00:00,Opening Balance,/,600030,THB,39845.75,
2025-12-31 00:00:00,Opening Balance,/,600055,THB,,19387.92
2025-12-31 00:00:00,Opening Balance,/,600032,THB,20884.76,
2025-12-31 00:00:00,Opening Balance,/,600033,THB,334892.42,
2025-12-31 00:00:00,Opening Balance,/,600041,THB,313406.65,
2025-12-31 00:00:00,Opening Balance,/,600010,THB,4114006.53,
2025-12-31 00:00:00,Opening Balance,/,600042,THB,10309.7,
2025-12-31 00:00:00,Opening Balance,/,600043,THB,111017.19,
2025-12-31 00:00:00,Opening Balance,/,600044,THB,2198,
2025-12-31 00:00:00,Opening Balance,/,600045,THB,9710,
2025-12-31 00:00:00,Opening Balance,/,600068,THB,1375655.28,
2025-12-31 00:00:00,Opening Balance,/,600052,THB,258974.74,
2025-12-31 00:00:00,Opening Balance,/,600053,THB,167703.81,
2025-12-31 00:00:00,Opening Balance,/,600054,THB,184553.46,
2025-12-31 00:00:00,Opening Balance,/,600069,THB,23100,
2025-12-31 00:00:00,Opening Balance,/,600026,THB,455604.07,
2025-12-31 00:00:00,Opening Balance,/,600027,THB,159430.07,
2025-12-31 00:00:00,Opening Balance,/,600081,THB,272735,
2025-12-31 00:00:00,Opening Balance,/,600082,THB,13740,
2025-12-31 00:00:00,Opening Balance,/,600083,THB,85305.43,
2025-12-31 00:00:00,Opening Balance,/,600084,THB,37850.45,
2025-12-31 00:00:00,Opening Balance,/,600085,THB,606262.66,
2025-12-31 00:00:00,Opening Balance,/,600091,THB,27480.85,
2025-12-31 00:00:00,Opening Balance,/,600092,THB,192667.59,
2025-12-31 00:00:00,Opening Balance,/,600093,THB,1251568.35,
2025-12-31 00:00:00,Opening Balance,/,600094,THB,56923.78,
2025-12-31 00:00:00,Opening Balance,/,600095,THB,1690045.11,
2025-12-31 00:00:00,Opening Balance,/,600096,THB,947742.63,
2025-12-31 00:00:00,Opening Balance,/,600064,THB,10822050.68,
