default_code,name,category,bom_id,bom_code,bom_type
SM-PAK-XX-02001,{'en_US': 'ชิ้นส่วนยาดม PAX 2way-Key ตัวบน+ตัวกลาง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,4040,,normal
SM-PAK-XX-03001,{'en_US': 'ชิ้นส่วนยาดม PAX 2way-Key ตัวบน'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),4038,,normal
SM-PAK-XX-03002,{'en_US': 'ชิ้นส่วนยาดม PAX 2way-Key ตัวล่าง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),4039,,normal
SM-PAS-XX-02001,{'en_US': 'ชิ้นส่วนยาดม PAX 2way ตัวบน+ตัวกลาง'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,4030,,normal
SM-PAS-XX-02002,{'en_US': 'ชิ้นส่วนยาดม PAX 2way ตัวล่าง+หลอดน้ำ'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,4041,,normal
SM-PAS-XX-03001,{'en_US': 'ชิ้นส่วนยาดม PAX 2way ตัวบน'},All / SFG / พลาสติก / ชิ้นส่วนหลอด (ประกอบ),4028,,normal
SM-PLK-UP-00001,{'en_US': 'ชิ้นส่วนยาดมตัวบนพวงกุญแจ'},All / SFG / พลาสติก / ชิ้นส่วนหลอด,3221,,normal
SM-PLS-LO-01001,{'en_US': 'ชิ้นส่วนยาดม PS ตัวล่างW01'},All / SFG / พลาสติก / ชิ้นส่วนหลอด,2947,BOM-003-32,normal
SM-PLS-LO-02001,{'en_US': 'ชิ้นส่วนยาดมตัวล่างW02'},All / SFG / พลาสติก / ชิ้นส่วนหลอด,2946,BOM-003-64,normal
SM-PLS-MI-01001,{'en_US': 'ชิ้นส่วนยาดมตัวกลางW01'},All / SFG / พลาสติก / ชิ้นส่วนหลอด,2945,BOM-002-32,normal
SM-PLS-MI-02001,{'en_US': 'ชิ้นส่วนยาดมตัวกลางW02'},All / SFG / พลาสติก / ชิ้นส่วนหลอด,2944,BOM-002-64,normal
SM-PLS-PU-01001,{'en_US': 'ชิ้นส่วนยาดมตัวอุดหลอดน้ำW01'},All / SFG / พลาสติก / ชิ้นส่วนหลอด,2963,BOM-011-32,normal
SM-PLS-PU-02001,{'en_US': 'ชิ้นส่วนยาดมตัวอุดหลอดน้ำW02'},All / SFG / พลาสติก / ชิ้นส่วนหลอด,2962,BOM-011-64,normal
SM-PLS-TU-01001,{'en_US': 'ชิ้นส่วนยาดมหลอดน้ำW01'},All / SFG / พลาสติก / ชิ้นส่วนหลอด,2961,BOM-010-32,normal
SM-PLS-TU-02001,{'en_US': 'ชิ้นส่วนยาดมหลอดน้ำW02'},All / SFG / พลาสติก / ชิ้นส่วนหลอด,2960,BOM-010-64,normal
SM-PLS-UP-01001,{'en_US': 'ชิ้นส่วนยาดมตัวบน W01'},All / SFG / พลาสติก / ชิ้นส่วนหลอด,2943,BOM-001-32,normal
SM-PLS-UP-02001,{'en_US': 'ชิ้นส่วนยาดมตัวบน W02'},All / SFG / พลาสติก / ชิ้นส่วนหลอด,2942,BOM-001-64,normal
SM-PNC-BT-02001,{'en_US': 'ขวดพิมเสนน้ำสำลี สำเร็จ'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3515,,normal
SM-PNC-BT-03001,{'en_US': 'ขวดพิมเสนน้ำสำลี กึ่งสำเร็จ'},All / SFG / พลาสติก / ชิ้นส่วนหลอด,3513,d1,normal
SM-PNC-BT-04001,{'en_US': 'ขวดพิมเสนน้ำสำลี สำเร็จ อินโดนีเซีย'},All / SFG / พลาสติก / ชิ้นส่วนหลอด,3387,d1,normal
SM-PNC-BT-04002,{'en_US': 'ขวดพิมเสนน้ำสำลี สำเร็จ พม่า'},All / SFG / พลาสติก / ชิ้นส่วนหลอด,3401,,normal
SM-PNC-BT-04003,{'en_US': 'ขวดพิมเสนน้ำสำลี สำเร็จ ตปท'},All / SFG / พลาสติก / ชิ้นส่วนหลอด,3441,,normal
SM-PNC-CA-02001,{'en_US': 'ฝาพิมเสนน้ำสำลี W01'},All / SFG / พลาสติก / ชิ้นส่วนหลอด(พิมพ์) + ประกอบ,3514,d1,normal
