code,product_name,location_name,trigger,product_min_qty,product_max_qty,vendor_count
PK-STK-PN-02001,ฉลากสติ๊กเกอร์ พิมเสน Roll On 5cc ไทย,GMP/Stock,auto,0.000000,0.000000,0
PK-STK-PN-02002,ฉลากสติ๊กเกอร์ พิมเสน Roll On 5cc ส่งนอก,GMP/Stock,auto,0.000000,0.000000,0
PK-STK-PN-02003,ฉลากสติ๊กเกอร์ พิมเสน Roll On 5cc พม่า ,GMP/Stock,auto,0.000000,0.000000,0
PK-STK-PN-02004,ฉลากสติ๊กเกอร์ พิมเสน Roll On 5cc อินโดนีเซีย,GMP/Stock,auto,0.000000,0.000000,0
PK-STK-PN-02005,ฉลากสติ๊กเกอร์ พิมเสน Roll On 5cc ไต้หวัน,GMP/Stock,auto,0.000000,0.000000,0
PK-STK-PN-03001,ฉลากสติ๊กเกอร์ พิมเสนสำลี,GMP/Stock,auto,0.000000,0.000000,0
PK-STK-PN-03002,ฉลากสติ๊กเกอร์ พิมเสนสำลี อินโดนีเซีย,GMP/Stock,auto,0.000000,0.000000,0
PK-STK-PN-03003,ฉลากสติ๊กเกอร์ พิมเสนสำลี พม่า,GMP/Stock,auto,0.000000,0.000000,0
RM-BOT-AC-01001,โฟมใส่ฝาขวดแก้วแบน 3cc,GMP/Stock,auto,0.000000,0.000000,0
RM-COT-PN-01001,สำลี,GMP/Stock,auto,0.000000,0.000000,0
RM-HTF-IL-00001,ฉลาก HTF MarkII อิสราเอล ตัวบน,GMP/Stock,auto,0.000000,0.000000,0
RM-HTF-IL-00002,ฉลาก HTF MarkII อิสราเอล ตัวล่าง,GMP/Stock,auto,0.000000,0.000000,0
RM-HTF-JP-00001,ฉลาก HTF MarkII NOSE MINT ตัวบน,GMP/Stock,auto,0.000000,0.000000,0
RM-HTF-JP-00002,ฉลาก HTF MarkII NOSE MINT ตัวล่าง,GMP/Stock,auto,0.000000,0.000000,0
RM-HTF-MY-00002,ฉลาก HTF PS ตัวล่าง มาเลเซีย,GMP/Stock,auto,0.000000,0.000000,0
RM-HTF-TH-01001,ฉลาก HTF PePex ตัวล่าง,GMP/Stock,auto,0.000000,0.000000,0
RM-HTF-TH-02001,ฉลาก HTF PePex2IN1พวงกุญแจ ตัวบน,GMP/Stock,auto,0.000000,0.000000,0
RM-HTF-TH-02002,ฉลาก HTF PePex2IN1พวงกุญแจ ตัวล่าง,GMP/Stock,auto,0.000000,0.000000,0
RM-HTF-TH-03001,ฉลาก HTF PSKey ตัวบน,GMP/Stock,auto,0.000000,0.000000,0
RM-HTF-TH-03002,ฉลาก HTF PSKey ตัวล่าง,GMP/Stock,auto,0.000000,0.000000,0
RM-HTF-TH-04001,ฉลาก HTF พิมเสนสำลี,GMP/Stock,auto,0.000000,0.000000,0
RM-HTF-XX-00001,ฉลาก HTF MarkII 3สูตร ตัวบน,GMP/Stock,auto,0.000000,0.000000,0
RM-HTF-XX-00002,ฉลาก HTF MarkII 3สูตร ตัวล่าง,GMP/Stock,auto,0.000000,0.000000,0
RM-HTF-XX-02001,ฉลาก HTF Pax-key ตัวบน,GMP/Stock,auto,0.000000,0.000000,0
RM-HTF-XX-02002,ฉลาก HTF Pax-key ตัวล่าง,GMP/Stock,auto,0.000000,0.000000,0
