External ID,Vendor / External ID,Order Reference,Order Date,Currency / Name,Order Lines / External ID,Order Lines / Product / External ID,Order Lines / Description,Order Lines / Quantity,Order Lines / Unit Price,Order Lines / Expected Arrival
mig_po_PO2600061,__export__.res_partner_70695_26d2cf24,PO2600061,,THB,mig_po_line_PO2600061_128,__export__.product_template_11623_43c763ab,ราคาค่าผลิต + ค่าขนส่ง เก้าอี้โรงพยาบาล ประจำปี 2569 (แนบ Indoor) รายชื่อจังหวัด ดังนี้1.จังหวัดสิงห์บุรี จำนวน 250 ตัว2.จังหวัดอ่างทอง จำนวน 133 ตัว3.จังหวัดแพร่ จำนวน 192 ตัว4.จังหวัดเลย จำนวน 270 ตัว5.จังหวัดชลบุรี จำนวน 360 ตัว6.จังหวัดกาฬสินธุ์ จำนวน 487 ตัว7.จังหวัดฉะเชิงเทรา จำนวน 200 ตัว8.จังหวัดเพชรบูรณ์ จำนวน 120 ตัว9.จังหวัดกาญจนบุรี จำนวน 170 ตัววัสดุ : ขึ้นรูปโครงสร้างโดยเหล็กกล่อง ขนาด 2 x 1 นิ้ว หนา 1.2 มิลลิเมตร- ฐานที่นั่งเป็นคอมโพสิต ขนา 40 x 120 ซม. หนา 4 มิลลิเมตร- พนักพิงเป็นแผ่นคอมโพสิต ขนาด 35 x 120 ซม. / หนา 3 มิลลิเมตร / เอียง 15 องศา- พนักพิงสติ๊กเกอร์ inkjet เคลือบด้าน ชนิด Outdoor ความละเอียด 1440 Dpi.- พ่นสีกันสนิม และพ่นสีอุตสาหกรรม ชนิด outdoor สีเขียว- ใส่น็อตปรับระดับระยะเวลาการผลิต : 5 เดือนขนาด : กว้าง 120 cm. x สูง 80 cm. x ลึก 40 cm.,2182.0,3900.0,
mig_po_PO2600062,__export__.res_partner_70695_26d2cf24,PO2600062,,THB,mig_po_line_PO2600062_126,__export__.product_template_11623_43c763ab,1.ราคาค่าผลิต + ค่าขนส่ง เก้าอี้อัลลอยอลูมิเนียมลายไม้ (แบบ Outdoor) รายชื่อดังนี้1. สวนสาธารณะหนองประจักษ์2. สวนสาธารณะหนองบัว3. สวนสาธารณะหนองสิมวัสดุ : ขาม้านั่ง และพนักพิง ทำจากเหล็กหล่อขึ้นรูปจากแม่พิมพ์- ตัวขาม้านั่งอัลลอย ทำ สีเขียว- ฐานที่นั่งเป็น เส้นอลูมิเนียมลายไม้ สีน้ำตาล- โลโก้ เป็นอัลลอยหล่อขึ้นรูป / ทำ สีขาวระยะเวลาการผลิต : 30 วันขนาด : กล้าง 120 cm. x สูง 80 cm. x ลึก 40 cm.,50.0,13900.0,
mig_po_PO2600062,__export__.res_partner_70695_26d2cf24,PO2600062,,THB,mig_po_line_PO2600062_127,__export__.product_template_11623_43c763ab,2. ราคาค่าผลิต + ค่าขนส่ง เก้าอี้โรงพยาบาล (แบบ Idoor)1. โรงพยาบาลเทศบาล และศูนย์บริการสาธารณสุขวัสดุ : ขึ้นรูปโครงสร้างโดยเหล็กกล่อง ขนาด 2 x 1 นิ้ว หนา 1.2 มิลลิเมตร- ฐานที่นั่งเป็นคอมโพสิต ขนาด 40 x 120 ซม. หนา 4 มิลลิเมตร- พนักพิงเป็นแผ่นคอมโพสิต ขนาด 35 x 120 ซม. / หนา 3 มิลลิเมตร / เอียง 15 องศา- พนักพิงติดสติ๊กเกอร์ inkjet เคลือบด้าน ชนิด Outdoor ความละเอียด 1440 Dpi.- พ่นสีกันสนิม และพ่นสีอุตสาหกรรม ชนิด outdoor สีเขียว- ใส่น็อตปรับระดับระยะเวลาการผลิต : 1 เดือนขนาด : กว้าง 120 cm. x สูง 80 cm. x ลึก 40 cm. หมายเหตุ : ราคาดังกล่างรวมค่าขนส่ง / ค่าแรงทีมงาน / ค่าน้ำมัน / ค่าที่พัก และค่าใช้จ่ายด้านการเดินทาง (ตั๋วเครื่องบิน) และค่าอาหารสำหรับลูกค้า จำนวน 2 ท่าน เรียบร้อยแล้ว,20.0,3900.0,
mig_po_PO2600063,__export__.res_partner_70530_5b154421,PO2600063,,THB,mig_po_line_PO2600063_124,__export__.product_template_11630_0f0038e2,"1.1 รายการไทนรัฐนิวส์โชว์ (ช่อง2) เบรก 3 : Product Placement จำนวน 12 เดือน- VTR ความยาว 5 วินาที / Placement เบรก 3 / Logo End Credit1.2 กิจกรรมไทยรัฐแฟร์ ปี 2569 : รูปแบบ Co Sponsor จำนวน 3 ครั้ง- ครั้งที่ 1 : วันที่ 12-15 มันาคม 69 สถานที่ เดอะมอลล์ บางแค- ครั้งที่ 2 : สถานที่ ฟิวเจอร์ปาร์ค รังสิต (TBC)- ครั้งที่ 3 : สถานที่ เดอะมอลล์ บางกะปิ (TBC)Sponsor Benefits : On Ground1.พื้นที่ Booth สำหรับขายสินค้าหรือจัดกิจกรรม 6x3m.- Logo สินค้าบนเวที, Logo สินค้า ขนาด 30x30 cm.- Logo บน Awchway หน้าทางเข้างาน ขนาด 30x30 cm.2.Live บรรยากาศงาน (Facebook หรือ Tiktok)- พิธีกรร่วมประชาสัมพันธ์ที่บูธผู้สนับสนุน ช่วง Live ครั้งละ 5 นาที จำนวน 2 ครั้ง/กิจกรรมSponsor Benefits : Thairath Online - Pre Promote- Logo ผู้สนับสนุนในภาพ Key Visual Promote งาน (ทุกช่องทาง)- Logo ผู้สนับสนุนบน Page Graphic พร้อมพูดประชาสัมพันธ์งาน ในช่องไทยรัฐทีวี- Logo คาดท้าย Spot Promote งาน (ทุกช่องทาง)Sponsor Benefits : Thairath Online - Post Promote- Photo ภามรวมบรรยากาศในงาน บน Soci",10.0,550000.0,
mig_po_PO2600063,__export__.res_partner_70530_5b154421,PO2600063,,THB,mig_po_line_PO2600063_125,__export__.product_template_11630_0f0038e2,"1.1 รายการไทนรัฐนิวส์โชว์ (ช่อง2) เบรก 3 : Product Placement จำนวน 12 เดือน- VTR ความยาว 5 วินาที / Placement เบรก 3 / Logo End Credit1.2 กิจกรรมไทยรัฐแฟร์ ปี 2569 : รูปแบบ Co Sponsor จำนวน 3 ครั้ง- ครั้งที่ 1 : วันที่ 12-15 มันาคม 69 สถานที่ เดอะมอลล์ บางแค- ครั้งที่ 2 : สถานที่ ฟิวเจอร์ปาร์ค รังสิต (TBC)- ครั้งที่ 3 : สถานที่ เดอะมอลล์ บางกะปิ (TBC)Sponsor Benefits : On Ground1.พื้นที่ Booth สำหรับขายสินค้าหรือจัดกิจกรรม 6x3m.- Logo สินค้าบนเวที, Logo สินค้า ขนาด 30x30 cm.- Logo บน Awchway หน้าทางเข้างาน ขนาด 30x30 cm.2.Live บรรยากาศงาน (Facebook หรือ Tiktok)- พิธีกรร่วมประชาสัมพันธ์ที่บูธผู้สนับสนุน ช่วง Live ครั้งละ 5 นาที จำนวน 2 ครั้ง/กิจกรรมSponsor Benefits : Thairath Online - Pre Promote- Logo ผู้สนับสนุนในภาพ Key Visual Promote งาน (ทุกช่องทาง)- Logo ผู้สนับสนุนบน Page Graphic พร้อมพูดประชาสัมพันธ์งาน ในช่องไทยรัฐทีวี- Logo คาดท้าย Spot Promote งาน (ทุกช่องทาง)Sponsor Benefits : Thairath Online - Post Promote- Photo ภามรวมบรรยากาศในงาน บน Soci",1.0,450000.0,
mig_po_PO2600077,__export__.res_partner_70422_15b96f6c,PO2600077,,THB,mig_po_line_PO2600077_117,__export__.product_template_11623_43c763ab,สนับสนุนกิจกรรม ปี 2569- สนับสนุนงาน สงกรานต์ฯ ปี 2569***รายละเอียดเพิ่มเติม***- พื่นที่จัดกิจกรรมและจำหน่ายสินค้าบริเวณ โซนโป๊ยเซียนสไลเดอร์ยักษ์- โต๊ะหน้าขาว จำนวน 4 ตัว และเก้าอี้ จำนวน 8 ตัว สำหรับวางสินค้าและทำกิจกรรม,1.0,3000000.0,
mig_po_PO2600091,__export__.res_partner_70827_ae8854eb,PO2600091,,THB,mig_po_line_PO2600091_109,__export__.product_template_11623_43c763ab,ค่าบริการจัดทำเงินเดือน ประจำปี 2569มกราคม - ธันวาคม 2569,11.0,8000.0,
mig_po_PO2600091,__export__.res_partner_70827_ae8854eb,PO2600091,,THB,mig_po_line_PO2600091_110,__export__.product_template_11623_43c763ab,ค่าบริการพิมพ์สลิปเงินเดือนพนักงานรายวัน,11.0,2000.0,
mig_po_PO2600102,__export__.res_partner_70517_8aa8d04a,PO2600102,,THB,mig_po_line_PO2600102_92,__export__.product_template_11623_43c763ab,+ Micro 18 KOLs + 4 ภาค : GQ x poysian Act : 12 Content + สงกรานต์ : 6 Content,1.0,270000.0,
mig_po_PO2600102,__export__.res_partner_70517_8aa8d04a,PO2600102,,THB,mig_po_line_PO2600102_93,__export__.product_template_11623_43c763ab,Ads. On Tiktok,1.0,70000.0,
