po_no,vendor_ref,vendor_name,product_code,product_name,open_qty,unit_price,currency_src,delivery_date,reason
PO2500818,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,805,เงินมัดจำจ่ายล่วงหน้า,5.0,495000.0,THB,,missing vendor; missing product; product missing in item master
PO2500818,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,805,เงินมัดจำจ่ายล่วงหน้า,2.0,385000.0,THB,,missing vendor; missing product; product missing in item master
PO2500818,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,805,เงินมัดจำจ่ายล่วงหน้า,3.0,335000.0,THB,,missing vendor; missing product; product missing in item master
PO2500818,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900023,"กิจกรรมและสื่อประชาสัมพันธ์ สินค้าโป๊ยเซียน ปี 25691.Vlog ""โป๊ยเซียน History"" จำนวน 26 ตอน",1.0,3420000.0,THB,,missing vendor
PO2500818,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900023,2.LINE OFFICIAL + DATABASE,1.0,1000000.0,THB,,missing vendor
PO2500818,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900023,"3.ดูแล Facebook / TikTok / YouTube เดือนมกราคม-มิถุนายน 2569(สำหรับระยะเวลา 6 เดือน ราคาปกติ 720,000 บาท)",1.0,660000.0,THB,,missing vendor
PO2500837,722,บริษัท กิมไป๊ บรรจุภัณฑ์กระดาษ จำกัด,357,000357 กล่องบรรจุแผงยาดมโป๊ยเซียน 2 โหล,5400.0,2.31,THB,2025-11-17,missing product; product missing in item master
PO2500869,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900023,"ค่าดำเนินการขนส่ง เก้าอี้โป๊ยเซียน Go Green Together จำนวน 45 ตัว1.ค่าขนส่งเก้าอี้ จากจังหวัดลำพูน ไปอุทยาน ฯ (กระบี่, พังงา, ภูเก็ต)",1.0,960000.0,THB,,missing vendor
PO2500869,658,บริษัท กรุงเทพ เอ็กซิบิชั่น จำกัด,900023,2.ค่าขนส่งเก้าอี้ จากชายฝั่งไปยังเกาะ,1.0,200000.0,THB,,missing vendor
PO2500876,377,บริษัท เอสแอนด์ดี อินดัสทรี้ จำกัด,355,กล่องโป๊ยเซียน บรรจุ (2x6) 70 แพ็ค 7x10 โหล (GMP-0010) (แบบเก่า Lot. สุดท้าย),125.0,41.66,THB,2025-11-14,missing product; product missing in item master
PO2500884,444,ห้างหุ้นส่วนจำกัด ไทยแพคเกจ อินเตอร์ เทรด,650,โฟมใส่ฝา พิมเสนPS ขวดแก้วแบนใส,1800000.0,0.07,THB,,missing product; product missing in item master
PO2500898,731,เมธา เจริญธนาวัฒน์,805,เงินมัดจำจ่ายล่วงหน้า,1.0,658050.0,THB,,missing product; product missing in item master
PO2500900,230,บริษัท วรกิจออโต้ชริ้งค์แพค จำกัด,434,PVC 95 x 100 x 0.05 - 0.06 โค้ง V.4 เจาะรู 1 รู (บน) (หดสำลี 4 ขวด),3.4,115.0,THB,2025-12-06,missing product; product missing in item master
PO2500901,377,บริษัท เอสแอนด์ดี อินดัสทรี้ จำกัด,607,ยาดมPS ลัง 80 โหล สีขาว (GMP-0039),50.0,31.04,THB,2025-12-06,missing product; product missing in item master
PO2500908,722,บริษัท กิมไป๊ บรรจุภัณฑ์กระดาษ จำกัด,358,ยาดมPS สามัญ กล่อง 5 โหลLot No.     AA00426Mfg. Date 290126Exp. Date  290129,550.0,3.78,THB,,missing product; product missing in item master
