parent_code,product_id,product_tmpl_id,product_name,status,active_bom_count,all_bom_count,bom_detail
FG-PSK-TH-01002,8205,8205,"Poy-Sian Inhaler with keyholder (Nigeria) 10*6 (5dz)
( Each carton contains 14 units ) ",BOM_EXISTS,1,1,BOM 3104 | code= | template | type=normal | qty=1.00 | lines=3 | operations=1 | active=true
FG-PSK-TH-02001,8580,8580,ยาดมโป๊ยเซียนพวงกุญแจ กล่อง 5โหล,BOM_EXISTS,1,1,BOM 3103 | code= | template | type=normal | qty=1.00 | lines=3 | operations=2 | active=true
FG-PSK-TH-03001,8581,8581,ยาดมโป๊ยเซียนพวงกุญแจ สีชมพูสะท้อนแสง,BOM_EXISTS,1,1,BOM 3096 | code= | template | type=normal | qty=1.00 | lines=6 | operations=1 | active=true
FG-PSK-TH-04001,,,,PRODUCT_NOT_FOUND,0,0,
FG-PSK-TH-04002,,,,PRODUCT_NOT_FOUND,0,0,
FG-PSK-TH-04003,,,,PRODUCT_NOT_FOUND,0,0,
FG-PSK-TH-04004,,,,PRODUCT_NOT_FOUND,0,0,
FG-PSK-TH-04005,,,,PRODUCT_NOT_FOUND,0,0,
FG-PSK-TH-04006,,,,PRODUCT_NOT_FOUND,0,0,
SM-PSK-TH-01001,,,,PRODUCT_NOT_FOUND,0,0,
SM-PSK-TH-01002,,,,PRODUCT_NOT_FOUND,0,0,
SM-PSK-TH-02001,8291,8291,ชิ้นส่วนยาดม PS Key ตัวบน+ตัวกลาง,BOM_EXISTS,1,1,BOM 3094 | code= | template | type=normal | qty=1.00 | lines=2 | operations=1 | active=true
SM-PSK-TH-02002,8289,8289,ชิ้นส่วนยาดม PS Key ตัวล่าง+หลอดน้ำ,BOM_EXISTS,1,1,BOM 3095 | code= | template | type=normal | qty=1.00 | lines=3 | operations=1 | active=true
SM-PLK-UP-00001,8023,8023,ชิ้นส่วนยาดมตัวบนพวงกุญแจ,BOM_EXISTS,1,1,BOM 3221 | code= | template | type=normal | qty=6800.00 | lines=2 | operations=1 | active=true
FG-MTK-IL-01001,7967,7967,"Classification No.: 90.18 Dragon Inhaler Mark II with keyholder
(Nasal Inhaler 24 Units in display+shrink)",BOM_EXISTS,1,1,BOM 3229 | code= | template | type=normal | qty=1.00 | lines=2 | operations=1 | active=true
FG-MTK-IL-02001,8507,8507,ยาดม Mark II อิสราเอล 1 กล่อง,BOM_EXISTS,1,1,BOM 3228 | code= | template | type=normal | qty=1.00 | lines=3 | operations=1 | active=true
FG-MTK-IL-03001,8508,8508,ยาดม Mark II อิสราเอล + พวงกุญแจ,BOM_EXISTS,1,1,BOM 3227 | code= | template | type=normal | qty=1.00 | lines=3 | operations=1 | active=true
SM-PSK-IS-01001,,,,PRODUCT_NOT_FOUND,0,0,
SM-PSK-IS-01002,,,,PRODUCT_NOT_FOUND,0,0,
SM-PSK-IS-02001,8256,8256,ชิ้นส่วนยาดม MarkII Isarel ตัวบน+ตัวกลาง,BOM_EXISTS,1,1,BOM 3224 | code= | template | type=normal | qty=1.00 | lines=2 | operations=1 | active=true
SM-PSK-IS-02002,8254,8254,ชิ้นส่วนยาดม MarkII Isarel ตัวล่าง+หลอดน้ำ,BOM_EXISTS,1,1,BOM 3225 | code= | template | type=normal | qty=1.00 | lines=3 | operations=1 | active=true
