product_variant_id,product_template_id,default_code,product_name,category,route_id,route_name
8547,8547,FG-PNR-ID-03001,"{""en_US"": ""พิมเสนโรลออน 5cc หุ้ม อินโดนีเซีย""}",All / FG / พิมเสนโรลออน 5 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8548,8548,FG-PNR-ID-04001,"{""en_US"": ""พิมเสนโรลออน 5cc ไม่หุ้ม อินโดนีเซีย""}",All / FG / พิมเสนโรลออน 5 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
7991,7991,FG-PNR-MM-01001,"{""en_US"": ""Pim Saen Balm Oil (5cc Roll On) Myanmar Label 12*1\n(Each carton contains 80 dozen)"", ""th_TH"": ""พิมเสนโรลออน 5cc (12x1) พม่า""}",All / FG / พิมเสนโรลออน 5 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8549,8549,FG-PNR-MM-02001,"{""en_US"": ""พิมเสนโรลออน 5cc 1โหล พม่า""}",All / FG / พิมเสนโรลออน 5 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8550,8550,FG-PNR-MM-03001,"{""en_US"": ""พิมเสนโรลออน 5cc หุ้ม พม่า""}",All / FG / พิมเสนโรลออน 5 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8551,8551,FG-PNR-MM-04001,"{""en_US"": ""พิมเสนโรลออน 5cc ไม่หุ้ม พม่า""}",All / FG / พิมเสนโรลออน 5 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8627,8627,FG-PNR-TH-04001,"{""en_US"": ""พิมเสนโรลออน 5cc ไม่หุ้ม ""}",All / SFG / น้ำยา,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
7994,7994,FG-PNR-TW-01001,"{""en_US"": ""Pim Saen Balm Oil (5cc Roll On) Taiwan Label 24*1\n(Each carton contains 100 dozen)"", ""th_TH"": ""พิมเสนโรลออน 5cc (24x1) ไต้หวัน""}",All / FG / พิมเสนโรลออน 5 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8552,8552,FG-PNR-TW-02001,"{""en_US"": ""พิมเสนโรลออน 5cc 1โหล ไต้หวัน""}",All / FG / พิมเสนโรลออน 5 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8553,8553,FG-PNR-TW-02002,"{""en_US"": ""พิมเสนโรลออน 5cc 2โหล ไต้หวัน""}",All / FG / พิมเสนโรลออน 5 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8554,8554,FG-PNR-TW-03001,"{""en_US"": ""พิมเสนโรลออน 5cc หุ้ม ไต้หวัน""}",All / FG / พิมเสนโรลออน 5 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8555,8555,FG-PNR-TW-04001,"{""en_US"": ""พิมเสนโรลออน 5cc ไม่หุ้ม ไต้หวัน""}",All / FG / พิมเสนโรลออน 5 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
7981,7981,FG-PNR-XX-01001,"{""en_US"": ""Pim Saen Balm Oil (5cc Roll On) English Label 12*1\n(Each carton contains 80 dozen)"", ""th_TH"": ""พิมเสนโรลออน 5cc (12x1) ตปท""}",All / FG / พิมเสนโรลออน 5 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8537,8537,FG-PNR-XX-02001,"{""en_US"": ""พิมเสนโรลออน 5cc 1โหล ตปท""}",All / FG / พิมเสนโรลออน 5 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8538,8538,FG-PNR-XX-03001,"{""en_US"": ""พิมเสนโรลออน 5cc หุ้ม ตปท""}",All / FG / พิมเสนโรลออน 5 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8539,8539,FG-PNR-XX-04001,"{""en_US"": ""พิมเสนโรลออน 5cc ไม่หุ้ม ตปท""}",All / FG / พิมเสนโรลออน 5 CC,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8196,8196,FG-PPR-TH-01005,"{""en_US"": ""ยาดมพีเป๊กซ์แดง (1*1) หลอดเดี่ยว""}",All / RM / สารเคมี,57,"{""en_US"": ""Auto Transfer RM (Pharma)""}"
8576,8576,FG-PPR-TH-02001,"{""en_US"": ""ยาดมพีเป๊กซ์แดง กล่อง 5 โหล (หุ้ม)""}",All / SFG / น้ำยา,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8577,8577,FG-PPR-TH-02002,"{""en_US"": ""ยาดมพีเป๊กซ์แดง กล่อง 5 โหล (ไม่หุ้ม)""}",All / SFG / น้ำยา,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8581,8581,FG-PSK-TH-03001,"{""en_US"": ""ยาดมโป๊ยเซียนพวงกุญแจ สีชมพูสะท้อนแสง""}",All / FG / ยาดม PS (พวงกุญแจ),60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8582,8582,FG-PSK-TH-03002,"{""en_US"": ""ยาดมโป๊ยเซียนพวงกุญแจ สีม่วง""}",All / FG / ยาดม PS (พวงกุญแจ),60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8583,8583,FG-PSK-TH-03003,"{""en_US"": ""ยาดมโป๊ยเซียนพวงกุญแจ สีชมพู""}",All / FG / ยาดม PS (พวงกุญแจ),60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8584,8584,FG-PSK-TH-03004,"{""en_US"": ""ยาดมโป๊ยเซียนพวงกุญแจ สีฟ้า""}",All / FG / ยาดม PS (พวงกุญแจ),60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8585,8585,FG-PSK-TH-03005,"{""en_US"": ""ยาดมโป๊ยเซียนพวงกุญแจ สีเหลือง""}",All / FG / ยาดม PS (พวงกุญแจ),60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8586,8586,FG-PSK-TH-03006,"{""en_US"": ""ยาดมโป๊ยเซียนพวงกุญแจ สีเขียว""}",All / FG / ยาดม PS (พวงกุญแจ),60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8229,8229,FG-PSS-DE-01001,"{""en_US"": ""Poy-Sian Aroma Oil Stick (Germany) 10*6 (5dz)\n( Each carton contains 20 units ) "", ""th_TH"": ""ยาดมโป๊ยเซียน(10x6) 5โหล เยอรมัน""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8605,8605,FG-PSS-DE-02001,"{""en_US"": ""ยาดมโป๊ยเซียน 5โหล เยอรมัน""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8606,8606,FG-PSS-DE-03001,"{""en_US"": ""ยาดมโป๊ยเซียน แผง เยอรมัน""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8607,8607,FG-PSS-DE-04001,"{""en_US"": ""ยาดมโป๊ยเซียนสีชมพูสะท้อนแสง เยอรมัน""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8608,8608,FG-PSS-DE-04002,"{""en_US"": ""ยาดมโป๊ยเซียนสีม่วง เยอรมัน""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8609,8609,FG-PSS-DE-04003,"{""en_US"": ""ยาดมโป๊ยเซียนชมพู เยอรมัน""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
8610,8610,FG-PSS-DE-04004,"{""en_US"": ""ยาดมโป๊ยเซียนฟ้า เยอรมัน""}",All / FG / ยาดมตราโป๊ยเซียน,60,"{""en_US"": ""Auto Transfer Semi (Pharma)""}"
