Product ID,Product,Routes
8083,[RM-FIL-PS-01002] ก้นกรอง,"Auto Transfer RM (Packaging), Buy"
8572,[RM-FIL-PS-01003] ก้นกรองกระปุก,"Auto Transfer RM (Pharma), Auto Transfer Semi (Pharma), Manufacture (Plastic), Buy"
8704,ก้นกรองชุบน้ำยา,Buy
8575,[RM-FIL-PS-01006] ก้นกรองชุบน้ำยา MarkII,"Auto Transfer RM (Packaging), Buy, Replenish on Order (MTO)"
8747,[RM-FIL-PS-01007] ก้นกรองชุบน้ำยา PAX,Buy
8573,[RM-FIL-PS-01004] ก้นกรองชุบน้ำยา PS,"Auto Transfer RM (Packaging), Auto Transfer Semi (Pharma), Manufacture (Pharma), Buy"
8574,[RM-FIL-PS-01005] ก้นกรองชุบน้ำยา Pepex,"Auto Transfer RM (Packaging), Manufacture (Pharma), Buy"
8084,[RM-FIL-PS-01001] ก้นกรองมัดสำเร็จ,"Auto Transfer RM (Pharma), Buy, Replenish on Order (MTO)"
8086,[PK-BOT-RD-01001] ขวด-ลูกกลิ้ง-ฝาทอง 5cc,"Auto Transfer RM (Packaging), Buy"
8019,[SM-PNC-BT-03001] ขวดพิมเสนน้ำสำลี กึ่งสำเร็จ,"Auto Transfer Semi (Pharma), Manufacture (Plastic), Replenish on Order (MTO)"
8311,[SM-PNC-BT-02001] ขวดพิมเสนน้ำสำลี สำเร็จ,"Auto Transfer Semi (Pharma), Manufacture (Plastic)"
8569,[SM-PNC-BT-04003] ขวดพิมเสนน้ำสำลี สำเร็จ ตปท,"Auto Transfer Semi (Pharma), Manufacture (Plastic), Replenish on Order (MTO)"
8568,[SM-PNC-BT-04002] ขวดพิมเสนน้ำสำลี สำเร็จ พม่า,"Auto Transfer Semi (Pharma), Manufacture (Plastic), Replenish on Order (MTO)"
8567,[SM-PNC-BT-04001] ขวดพิมเสนน้ำสำลี สำเร็จ อินโดนีเซีย,"Auto Transfer Semi (Pharma), Manufacture (Plastic), Replenish on Order (MTO)"
8085,[PK-BOT-RD-02001] ขวดแก้ว Balm 20cc,"Auto Transfer RM (Packaging), Buy"
8087,[PK-BOT-FT-01001] ขวดแก้วแบน 3cc,"Auto Transfer RM (Packaging), Buy"
8986,ขายพาเลทไม้,Buy
8673,ค่ากำจัดปลวก,Buy
8893,ค่าขนส่ง,Buy
8124,[900019] ค่าจดทะเบียนและภาษียานพาหนะ,Buy
8726,[900047] ค่าจัดส่ง,Buy
8167,[900022] ค่าซ่อมแซมบำรุงรักษา - ยานพาหนะ,Buy
8168,[900036] ค่าซ่อมแซมบำรุงรักษา - อาคารและสิ่งปลูกสร้าง,Buy
8165,[900010] ค่าซ่อมแซมบำรุงรักษา - เครื่องจักร,Buy
8163,[900021] ค่าซ่อมแซมบำรุงรักษา - เครื่องตกแต่ง,Buy
8166,[900009] ค่าซ่อมแซมบำรุงรักษา - เครื่องมือเครื่องใช้,Buy
8164,[900020] ค่าซ่อมแซมบำรุงรักษา - เครื่องใช้สำนักงาน,Buy
9029,ค่าตราชั่ง,Buy
8112,[900043] ค่าธรรมเนียมวิชาชีพ,Buy
8113,[900024] ค่าธรรมเนียมอื่น ๆ,Buy
9031,ค่านำเข้าสินค้า,Buy
8727,ค่าน้ำมัน,Buy
8114,[900023] ค่าบริการจ่าย,Buy
8189,[900025] ค่าบริการติดตาม GPS,Buy
9032,ค่าประกันภัย,Buy
8115,[900031] ค่ารักษาความปลอดภัย,Buy
8728,ค่ารับรองลูกค้า,Buy
8250,[900014] ค่าวารสารและสมาชิก,Buy
8630,[900001] ค่าสอบเทียบเครื่องมือ,Buy
8729,ค่าสึกหรอ,Buy
8730,ค่าสื่อสาร,Buy
8118,[900008] ค่าอบรมสัมมนา,Buy
8631,ค่าอากรขาเข้า,Buy
8352,[900030] ค่าอินเทอร์เน็ต,Buy
8119,[900018] ค่าเช่ารถยนต์,Buy
8360,[900035] ค่าเช่าอุปกรณ์สำนักงาน,Buy
8732,ค่าเดินทางและที่พัก,Buy
8367,[900027] ค่าแบบฟอร์มพนักงาน,Buy
8120,[900011] ค่าโฆษณา,Buy
8121,[900013] ค่าโทรศัพท์,Buy
8734,ค่าใช้จ่ายทั่วไป,Buy
8122,[900042] ค่าใช้จ่ายเบ็ดเตล็ด,Buy
8125,[900028] ค่าใช้จ่ายในการจัดหาพนักงาน,Buy
8123,[900044] ค่าใช้จ่ายในการแก้ไขสินค้า,Buy
8878,ค่าไฟบริการ (ตู้ขนม) เดือน 12/68,Buy
8877,ค่าไฟบริการ (ตู้น้ำ) เดือน 12/68,Buy
8127,[RM-HTF-XX-01001] ฉลาก HTF MarkII 2สูตร ตัวบน,"Auto Transfer RM (Packaging), Buy"
8128,[RM-HTF-XX-01002] ฉลาก HTF MarkII 2สูตร ตัวล่าง,"Auto Transfer RM (Packaging), Buy"
8129,[RM-HTF-XX-00001] ฉลาก HTF MarkII 3สูตร ตัวบน,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8130,[RM-HTF-XX-00002] ฉลาก HTF MarkII 3สูตร ตัวล่าง,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8135,[RM-HTF-JP-00001] ฉลาก HTF MarkII NOSE MINT ตัวบน,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8134,[RM-HTF-JP-00002] ฉลาก HTF MarkII NOSE MINT ตัวล่าง,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8136,[RM-HTF-IL-00001] ฉลาก HTF MarkII อิสราเอล ตัวบน,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8131,[RM-HTF-IL-00002] ฉลาก HTF MarkII อิสราเอล ตัวล่าง,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8137,[RM-HTF-KR-00001] ฉลาก HTF MarkII เกาหลี ตัวบน ,"Auto Transfer RM (Packaging), Buy"
8132,[RM-HTF-KR-00002] ฉลาก HTF MarkII เกาหลี ตัวล่าง ,"Auto Transfer RM (Packaging), Buy"
8138,[RM-HTF-TW-00001] ฉลาก HTF MarkII ไต้หวัน ตัวบน,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8133,[RM-HTF-TW-00002] ฉลาก HTF MarkII ไต้หวัน ตัวล่าง,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8150,[RM-HTF-TH-00001] ฉลาก HTF PS ตัวบน,"Auto Transfer RM (Packaging), Buy"
8146,[RM-HTF-CN-00001] ฉลาก HTF PS ตัวบน จีน,"Auto Transfer RM (Packaging), Buy"
8145,[RM-HTF-MY-00001] ฉลาก HTF PS ตัวบน มาเลเซีย,"Auto Transfer RM (Packaging), Buy"
8147,[RM-HTF-DE-00001] ฉลาก HTF PS ตัวบน เยอรมัน,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8149,[RM-HTF-TH-00002] ฉลาก HTF PS ตัวล่าง,"Auto Transfer RM (Packaging), Buy"
8152,[RM-HTF-CN-00002] ฉลาก HTF PS ตัวล่าง จีน,"Auto Transfer RM (Packaging), Buy"
8144,[RM-HTF-MY-00002] ฉลาก HTF PS ตัวล่าง มาเลเซีย,"Auto Transfer RM (Packaging), Buy"
8148,[RM-HTF-DE-00002] ฉลาก HTF PS ตัวล่าง เยอรมัน,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8143,[RM-HTF-TH-03001] ฉลาก HTF PSKey ตัวบน,"Auto Transfer RM (Packaging), Buy"
8142,[RM-HTF-TH-03002] ฉลาก HTF PSKey ตัวล่าง,"Auto Transfer RM (Packaging), Buy"
8154,[RM-HTF-XX-02001] ฉลาก HTF Pax-key ตัวบน,"Auto Transfer RM (Packaging), Buy"
8153,[RM-HTF-XX-02002] ฉลาก HTF Pax-key ตัวล่าง,"Auto Transfer RM (Packaging), Buy"
8141,[RM-HTF-TH-01001] ฉลาก HTF PePex ตัวล่าง,"Auto Transfer RM (Packaging), Buy"
8140,[RM-HTF-TH-02001] ฉลาก HTF PePex2IN1พวงกุญแจ ตัวบน,"Auto Transfer RM (Packaging), Buy"
8139,[RM-HTF-TH-02002] ฉลาก HTF PePex2IN1พวงกุญแจ ตัวล่าง,"Auto Transfer RM (Packaging), Buy"
8151,[RM-HTF-TH-04001] ฉลาก HTF พิมเสนสำลี,"Auto Transfer RM (Packaging), Buy"
8155,[PK-SHF-PN-04001] ฉลาก ShrinkFilm Balm 20CC,"Auto Transfer RM (Packaging), Buy"
8159,[PK-SHF-PB-01003] ฉลาก ShrinkFilm กระปุกMarkII,"Auto Transfer RM (Packaging), Buy"
8161,[PK-SHF-PB-01001] ฉลาก ShrinkFilm กระปุกPS,"Auto Transfer RM (Packaging), Buy"
8160,[PK-SHF-PB-01002] ฉลาก ShrinkFilm กระปุกPePex,"Auto Transfer RM (Packaging), Buy"
8156,[PK-SHF-PN-01001] ฉลาก ShrinkFilm พิมเสนขวดแบน 3cc,"Auto Transfer RM (Packaging), Buy"
8158,[PK-SHF-PN-03005] ฉลาก ShrinkFilm พิมเสนสำลี 8CC,"Auto Transfer RM (Packaging), Buy"
8162,[PK-SHF-PN-03004] ฉลาก ShrinkFilm พิมเสนสำลี 8CC 4โหล,"Auto Transfer RM (Packaging), Buy"
8157,[PK-SHF-PN-01002] ฉลาก ShrinkFilm พิมเสนแก้วแบน 3cc อินโดนีเซีย,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8329,[PK-STK-PN-01001] ฉลากสติกเกอร์ น้ำเต้า1936-1.7cm,"Auto Transfer RM (Packaging), Buy"
8336,[PK-STK-PN-02003] ฉลากสติ๊กเกอร์ พิมเสน Roll On 5cc พม่า ,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8330,[PK-STK-PN-02002] ฉลากสติ๊กเกอร์ พิมเสน Roll On 5cc ส่งนอก,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8335,[PK-STK-PN-02004] ฉลากสติ๊กเกอร์ พิมเสน Roll On 5cc อินโดนีเซีย,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8333,[PK-STK-PN-02005] ฉลากสติ๊กเกอร์ พิมเสน Roll On 5cc ไต้หวัน,"Auto Transfer RM (Packaging), Replenish on Order (MTO), Buy"
8334,[PK-STK-PN-02001] ฉลากสติ๊กเกอร์ พิมเสน Roll On 5cc ไทย,"Auto Transfer RM (Packaging), Buy"
